No,Intent,Category,Question
1,greeting,Greeting,Hello
2,greeting,Greeting,Hi
3,greeting,Greeting,Hey
4,greeting,Greeting,Good morning
5,greeting,Greeting,Good afternoon
6,greeting,Greeting,Good evening
7,greeting,Greeting,Hello chatbot
8,greeting,Greeting,Hi assistant
9,greeting,Greeting,Hey chatbot
10,greeting,Greeting,Hi there
11,greeting,Greeting,Hello there
12,greeting,Greeting,Good day
13,greeting,Greeting,Is anyone there?
14,greeting,Greeting,Start chat
15,greeting,Greeting,Greetings!
16,greeting,Greeting,Good morning chatbot
17,greeting,Greeting,Good evening assistant
18,greeting,Greeting,Yo chatbot
19,greeting,Greeting,Hi there assistant
20,greeting,Greeting,Morning!
21,greeting,Greeting,Evening!
22,greeting,Greeting,Hiya
23,greeting,Greeting,Hiya chatbot
24,greeting,Greeting,What's up?
25,greeting,Greeting,Sup
26,greeting,Greeting,Hey there!
27,greeting,Greeting,Nice to meet you
28,greeting,Greeting,Good to see you
29,greeting,Greeting,"Hello, how are you?"
30,greeting,Greeting,"Hi, how's it going?"
31,greeting,Greeting,Howdy
32,greeting,Greeting,Hello CampusConnect
33,greeting,Greeting,Hi university assistant
34,greeting,Greeting,Hey there assistant
35,greeting,Greeting,"Good morning, CampusConnect"
36,greeting,Greeting,"Hello, I am starting a chat"
37,greeting,Greeting,Hai
38,greeting,Greeting,Yo
39,greeting,Greeting,Hello CampusConnect assistant
40,greeting,Greeting,Good day chatbot
41,greeting,Greeting,Can we start a chat?
42,greeting,Greeting,Hello there assistant
43,greeting,Greeting,Hi CampusConnect
44,greeting,Greeting,Hey CampusConnect
45,greeting,Greeting,Good day assistant
46,greeting,Greeting,Good afternoon assistant
47,greeting,Greeting,Morning CampusConnect
48,greeting,Greeting,"Hello, are you available?"
49,greeting,Greeting,"Hi, I need some university help"
50,greeting,Greeting,"Hello, I have a question"
51,greeting,Greeting,"Hi, can I ask something?"
52,greeting,Greeting,"Hey, can you help me?"
53,greeting,Greeting,"Good morning, I have a question"
54,greeting,Greeting,"Good afternoon, I have a question"
55,greeting,Greeting,"Good evening, I have a question"
56,greeting,Greeting,Hi university chatbot
57,greeting,Greeting,Hello university chatbot
58,greeting,Greeting,Hey university assistant
59,goodbye,Goodbye,Bye
60,goodbye,Goodbye,Goodbye
61,goodbye,Goodbye,See you
62,goodbye,Goodbye,See you later
63,goodbye,Goodbye,I have to go
64,goodbye,Goodbye,Talk to you later
65,goodbye,Goodbye,Bye chatbot
66,goodbye,Goodbye,Goodbye assistant
67,goodbye,Goodbye,See you again
68,goodbye,Goodbye,That's all
69,goodbye,Goodbye,I am done
70,goodbye,Goodbye,End chat
71,goodbye,Goodbye,Stop chatting
72,goodbye,Goodbye,I don't need anything else
73,goodbye,Goodbye,Thank you bye
74,goodbye,Goodbye,Bye for now
75,goodbye,Goodbye,"I hope you have a nice day, goodbye"
76,goodbye,Goodbye,See you next time
77,goodbye,Goodbye,I will come back later
78,goodbye,Goodbye,Close chat
79,goodbye,Goodbye,Bye bye for now
80,goodbye,Goodbye,"Got to run, see ya"
81,goodbye,Goodbye,Talk to you later assistant
82,goodbye,Goodbye,Catch you later
83,goodbye,Goodbye,I will leave now
84,goodbye,Goodbye,Bye now
85,goodbye,Goodbye,Gtg
86,goodbye,Goodbye,I'm leaving
87,goodbye,Goodbye,Done chatting
88,goodbye,Goodbye,Exit chat
89,goodbye,Goodbye,"Thanks, I am done"
90,goodbye,Goodbye,That is all for now
91,goodbye,Goodbye,End this conversation
92,goodbye,Goodbye,See you tomorrow
93,goodbye,Goodbye,Talk to you again soon
94,goodbye,Goodbye,Goodbye for now
95,goodbye,Goodbye,I am finished here
96,goodbye,Goodbye,"No more questions, bye"
97,goodbye,Goodbye,I have no more questions
98,goodbye,Goodbye,"That is everything, thank you"
99,goodbye,Goodbye,"Have a good day, bye"
100,goodbye,Goodbye,See you next time chatbot
101,goodbye,Goodbye,Close this conversation
102,goodbye,Goodbye,I am done with my questions
103,goodbye,Goodbye,Bye CampusConnect
104,goodbye,Goodbye,Take care assistant
105,thanks,Thanks,Thank you
106,thanks,Thanks,Thanks
107,thanks,Thanks,Thanks a lot
108,thanks,Thanks,Thank you so much
109,thanks,Thanks,I appreciate it
110,thanks,Thanks,That helps
111,thanks,Thanks,Very helpful
112,thanks,Thanks,Thanks for helping
113,thanks,Thanks,Thank you for your help
114,thanks,Thanks,I appreciate your help
115,thanks,Thanks,"Great, thanks"
116,thanks,Thanks,Okay thanks
117,thanks,Thanks,Thanks chatbot
118,thanks,Thanks,Thanks assistant
119,thanks,Thanks,You helped me
120,thanks,Thanks,That was useful
121,thanks,Thanks,Thank you very much
122,thanks,Thanks,I am grateful
123,thanks,Thanks,Thanks for the information
124,thanks,Thanks,Thanks for answering
125,thanks,Thanks,Many thanks!
126,thanks,Thanks,Appreciate the quick reply
127,thanks,Thanks,"Super helpful, thanks!"
128,thanks,Thanks,Thanks for the breakdown
129,thanks,Thanks,Much obliged
130,thanks,Thanks,Ty
131,thanks,Thanks,Thx
